idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
3974;3974;4 Rue Branly;Villeurbanne;21387;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2023-10-20;2023-10-20;69266;229;4,881850399937862;45,77144801946184
3621;3621;11 Rue d'Inkermann;Villeurbanne;21413;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2023-10-20;2023-10-20;69266;2088;4,865822700879662;45,76955513597485
2756;2756;31 Rue Mazenod;Lyon 3e Arrondissement;27912;;Y101.0.VERRE;Col Est;GPE;2017-05-22;;2023-10-20;2023-10-20;69383;3607;4,843781101122222;45,75861962050488
2815;2815;102 Rue Maurice Flandin;Lyon 3e Arrondissement;27911;en face du 102;Y101.0.VERRE;Col Est;GPE;2017-05-22;;2023-10-20;2023-10-20;69383;4456;4,862418309133614;45,75631133304754
1150;1150;24 Rue Sully;Décines-Charpieu;23021;;V101.0.VERRE;Col Est;COL GUERIN;2023-10-20;2023-10-24;2023-10-24;;69275;4832;4,9754403785556445;45,77033593878441
1033;1033;2 Allée du Levant;La Tour-de-Salvagny;32593;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2020-10-21;2020-10-21;2020-10-21;;69250;11;4,724372625086493;45,81713089919879
6969;6969;61 Avenue des Bruyeres Ass ALTER CONSO;Décines-Charpieu;;;V101.0.VERRE;Col Est;GPE;2021-09-06;2021-09-14;2021-09-14;2021-09-14;69275;3;4,94274403753634;45,75723678836314
3574;3574;Angle Jean Jaures /Rue du Rhône;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;;2018-04-24;;69256;19;4,933685461850869;45,78858260169078
2347;2347;56 Rue Lieutenant Colonel Girard;Lyon 7e Arrondissement;28665;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-01;2022-04-01;69387;28;4,823915974649777;45,734505112978724
2365;2365;26 Rue Pierre Sémard;Lyon 7e Arrondissement;28682;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-08-05;2022-04-07;2022-04-07;69387;30;4,844346971028212;45,74154804220014
5198;5198;25 Rue Jean-Claude Bartet;Champagne-au-Mont-d'Or;03474;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2014-01-30;2018-04-24;2014-02-03;69040;42;4,795882715089448;45,79006064062935
6980;6980;129 Chemin des Grenettes;Quincieux;36118;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2015-01-16;2018-04-24;;69163;43;4,756871267311534;45,919073385576674
3010;3010;Rue des Onchères;Vaulx-en-Velin;19972;;Z101.0.VERRE;Col Est;COL GUERIN;2018-05-29;2018-06-25;2019-06-04;;69256;44;4,927585485206144;45,78014507937049
2805;2805;58 Rue Feuillat;Lyon 3e Arrondissement;27867;Face N°58;Y101.0.VERRE;Col Est;GPE;2017-05-22;;2023-10-27;2023-10-27;69383;2245;4,875301351061291;45,74741819089464
2087;2087;Rue Duguesclin angle Rue du Lt Col Prévost;Lyon 6e Arrondissement;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2017-02-28;2018-04-24;;69386;47;4,846507321788906;45,77357443029556
6607;6607;8 Rue de l'Egalité;Saint-Priest;26167;devant entrée piscine;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2023-10-27;2023-10-27;69290;2557;4,945109923278017;45,695933253684665
2369;2369;26 Rue de Gerland;Lyon 7e Arrondissement;28599;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2009-07-17;2022-04-07;2022-04-07;69387;51;4,840750638420058;45,74119640777374
3592;3592;Avenue franklin roosevelt ;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2008-03-21;2018-04-24;2013-11-26;69256;52;4,936174973458756;45,75868593516733
4309;4309;33 Avenue du Mont Blanc;Rillieux-la-Pape;24874;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2013-02-22;69286;71;4,897360544507484;45,81095712890705
1122B;1122B;3 Place Meissonier;Lyon 1er Arrondissement;27323;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2013-01-07;2018-08-29;;69381;73;4,832675908464413;45,766146595653765
3697;3697;Interieur dechetterie Barbezat;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-07-22;2018-04-24;;69275;75;4,938691302678148;45,757526421092614
1530;1530;8 Quai Romain Rolland;Lyon 5e Arrondissement;28235;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2007-05-25;2019-05-06;2018-09-18;69385;82;4,828947200411971;45,76395797140688
E248;E248;1 Place Jules Ferry Rue Juliette Recamier;Lyon 6e Arrondissement;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2012-11-14;2018-04-24;;69386;89;4,859001493687983;45,76799165392134
2251;2251;6 Rue Saint Lazare;Lyon 7e Arrondissement;28698;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2010-03-05;2022-04-13;2022-04-13;69387;91;4,84726291884613;45,74841420731414
2275;2275;13 Rue Challemel Lacour;Lyon 7e Arrondissement;28580;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;94;4,832056168655326;45,729747396342624
5193;5193;Rue des Barbots;La Mulatière;11216;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-06-24;2018-05-24;2018-05-24;69142;97;4,817476411837904;45,719001591845576
7122;7122;162 Rue Pierre Corneille;Lyon 3e Arrondissement;27934;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-11-18;2018-04-24;;69383;106;4,845091308390611;45,757625961814234
6431;6431;Chemin du Puits;Vaulx-en-Velin;19814;;Z101.0.VERRE;Col Est;GPE;2021-08-09;2021-08-30;2021-08-30;;69256;108;4,913395720637398;45,78564605585799
6666;6666;Rue de l'Agriculture/Rue des Griottiers;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2005-12-22;2018-04-24;2014-02-06;69290;117;4,943469156151557;45,70673416916402
3580;3580;Rue Franklin Face Drut;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;;2018-04-24;2010-12-29;69256;122;4,920378624932436;45,78703306170969
7321;7321;Chemin du Loup Angle Route Du Bruissin;Francheville;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2017-01-16;2018-04-24;;69089;131;4,756060800156069;45,735488091427015
6963;6963;2 Rue Crépet;Lyon 7e Arrondissement;28588;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2014-11-05;2022-09-15;2022-09-15;69387;134;4,83281864894844;45,74002104547839
7481;7481;20 Rue Montesquieu;Lyon 7e Arrondissement;28671;;X101.0.VERRE;Col Sud;COL GUERIN;2021-10-15;2021-11-18;2021-11-18;;69387;147;4,840684646707007;45,75360247297907
7151;7151;24 Avenue Paul Delorme;Sathonay-Camp;26616;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2016-01-20;2018-04-24;;69292;154;4,868814169922564;45,81935439206958
E314;E314;Avenue des Arts;Villeurbanne;33788;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2013-06-27;2018-04-24;;69266;156;4,87183928332217;45,78363840972226
4025;4025;117 Rue Anatole France;Villeurbanne;21362;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2014-01-29;2023-05-02;2023-05-02;69266;159;4,881293256483552;45,768543589964445
7148;7148;48 Rue de la Thibaudière;Lyon 7e Arrondissement;28606;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2016-01-14;2022-04-13;2022-04-13;69387;163;4,847213662520738;45,74933579510909
4225;4225;Crs Tolstoi angle Rue Edouard Aynard;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2019-05-13;2019-05-17;2019-05-17;;69266;165;4,877194812626561;45,762806897716786
BOIR1;BOIR1;Voie Romaine (Labo BOIRON Francheville);Francheville;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-10-29;2023-06-05;;69089;172;4,75529829754489;45,750381818318345
E510;E510;Place Pierre Martel;Saint-Didier-au-Mont-d'Or;14872;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2019-10-02;2019-10-10;2019-10-10;;69194;176;4,7942269219109;45,82567238288065
4205;4205;132 Allée du Vallon du Ruisseau;Limonest;09487;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2006-09-22;2018-04-24;2013-02-18;69116;191;4,762559457856606;45,82995775794979
3698;3698;Av Silvin angle Jaures devant caisse d epargne;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-10-07;2022-02-21;;69275;201;4,962846731489324;45,77050124510736
2294;2294;29 Rue Cavenne;Lyon 7e Arrondissement;28578;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;202;4,838521062069522;45,752393596800914
4000;4000;Rue Jacques Brel;Villeurbanne;21563;Angle de la Rue Rolland;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2010-04-06;2018-10-16;;69266;164;4,863354408691727;45,77405866656516
5767;5767;6t Avenue Général Leclerc;Tassin-la-Demi-Lune;18676;;W101.0.VERRE;Col Sud;COL GUERIN;2018-01-22;2012-01-06;2018-04-24;;69244;207;4,776438768692887;45,76164785199296
2245;2245;Rue Joan Miro ex leon perrier;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-09-22;2018-04-24;;69290;209;4,9370870618610665;45,695137295756155
E449;E449;2 Rue Alfred de Musset;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-10-10;2018-04-24;;69266;236;4,914129274778308;45,75636806346796
3633;3633;2 Avenue Charles de Gaulle;Vaulx-en-Velin;;Sur le parking de l'enseigne "Métro";Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2016-05-25;2018-04-24;;69256;228;4,93107424318796;45,781153925475095
7132;7132;Rue d'Aubigny/Bellecombe;Lyon 3e Arrondissement;;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-12-01;2018-04-24;;69383;219;4,863815210762114;45,761524424775985
1146;1146;Chemin du Guillon;Cailloux-sur-Fontaines;30741;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2022-03-14;2022-03-29;2022-03-29;;69033;246;4,890113214128108;45,86949148792249
3486;3486;Rue doc Scheitwzer angle Av Schneider;Meyzieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-05-09;2018-04-24;;69282;265;5,030928768089218;45,76881515761017
4028;4028;Rue du 8 Mai 1945 rue marcel sembat;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-07-21;2018-04-24;;69266;287;4,892165300228667;45,77754739956548
4002;4002;10 Rue Antoine Bernoux;Villeurbanne;21363;;Z101.0.VERRE;Col Est;GPE;2020-08-25;2020-09-04;2023-07-11;2023-07-11;69266;290;4,887192085458108;45,76957857793688
E444;E444;Rue Jean Lurçat;Bron;36265;;Y101.0.VERRE;Col Est;GPE;2018-01-22;2015-05-04;2018-04-24;;69029;296;4,9204582508790065;45,74669174207891
4013;4013;Rue du Tonkin angle Avenue Salvador Allende;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2010-07-27;2018-04-24;2013-11-28;69266;299;4,8646934846576455;45,77541568561146
7103;7103;Rue Carnot / Blanc;Saint-Fons;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-10-16;2018-04-24;;69199;300;4,857141371545379;45,70819225768041
2619;2619;Rue Rochambeau/Angle Rue Varichon;Lyon 8e Arrondissement;;;Y101.0.VERRE;Col Sud;GPE;2017-05-22;2010-09-14;2018-04-24;;69388;305;4,868493635904131;45,731207556449135
E452;E452;ZAC de L'Hotel de ville Rue Condorcet vers Jules Romain;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-03-26;2018-03-26;2019-03-26;;69256;319;4,91912052823576;45,77897587517597
5370;5370;2b Rue des Terres Plates;Craponne;05872;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2005-09-13;2020-11-19;2020-11-19;69069;325;4,726392127597523;45,744646782686914
5764;5764;Allée Jean Paul II;Sainte-Foy-lès-Lyon;32835; ;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2011-03-21;2018-04-24;2016-03-18;69202;322;4,785452865334471;45,74280830094696
3437;3437;62b Rue Alexandre Boutin;Villeurbanne;21354;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-12-16;2023-08-04;2023-08-04;69266;326;4,868917413145861;45,76674698948049
6518;6518;10 Rue Docteur Louis Jugnet;Saint-Fons;15212;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2021-02-17;2021-02-17;69199;329;4,8576443848498405;45,70180641036677
7207;7207;14 Ruelle du Grand Casernement;Lyon 7e Arrondissement;36296;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2016-04-18;2022-04-05;2022-04-05;69387;333;4,85423262402429;45,74749329986662
2372;2372;24 Rue Professeur Grignard;Lyon 7e Arrondissement;28684;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2009-09-29;2022-04-04;2022-04-04;69387;342;4,837057942063436;45,74772901507503
2566;2566;67 Rue Laennec;Lyon 8e Arrondissement;28868;;Y101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-15;2022-04-15;69388;351;4,8831167040756664;45,739300788385854
1587;1587;94 Rue de la Balme;Lyon 3e Arrondissement;27811;;Y101.0.VERRE;Col Est;GPE;2023-03-02;2023-03-28;2023-03-28;;69383;355;4,896536445425748;45,751163700822076
2321;2321;30 Rue du Repos;Lyon 7e Arrondissement;28626;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;362;4,850464854433648;45,74597112253024
2250;2250;14 Rue des Girondins;Lyon 7e Arrondissement;28615;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2005-11-15;2022-04-01;2022-04-01;69387;367;4,8277694557227715;45,739382649787125
2440;2440;Place du marché;Lyon 9e Arrondissement;;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2013-04-30;2018-04-24;2014-02-11;69389;370;4,805930306355875;45,774227844721224
6200;6200;Rue des Guillandes angle rue de la Paix;Bron;;;Y101.0.VERRE;Col Est;GPE;2018-01-22;2017-05-19;2018-04-24;2017-09-08;69029;377;4,8936584903947296;45,73521791031961
7100;7100;73 Cours de la Liberté;Lyon 3e Arrondissement;;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-09-18;2022-11-07;2022-11-07;69383;378;4,84291476666926;45,75654602586412
3485;3485;16 Rue Thérèse Peltier;Meyzieu;33097;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-05-09;2018-04-24;2017-08-24;69282;382;5,001858153068492;45,78548207063788
7033;7033;8 Rue Béchevelin;Lyon 7e Arrondissement;28571;;X101.0.VERRE;Col Sud;COL GUERIN;2018-06-11;2018-06-15;2022-04-13;2022-04-13;69387;388;4,842528807260169;45,75352030598087
4091;4091;Chemin du Gabugy;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-10;2018-02-07;2018-04-24;;69256;394;4,917031443974644;45,77196277595521
3441;3441;Rue Vendôme Place Chavanne;Lyon 6e Arrondissement;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-02-05;2018-04-24;;69386;397;4,8443915988739406;45,771287552214766
4566;4566;8 Rue des Molières;Genay;23554;Sur paking;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2018-03-02;69278;392;4,836193086089184;45,89648186299296
1029;1029;27 Rue Neyret;Lyon 1er Arrondissement;27433;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2020-06-17;2020-08-05;2021-08-11;2021-08-11;69381;408;4,830349035623035;45,77133126710003
1991;1991;229 Rue Doyen Georges Chapas;Lyon 9e Arrondissement;32103;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2010-06-23;2018-04-24;2013-02-22;69389;415;4,80124078842383;45,78997983234299
1450;1450;Place Joannès Ambre;Lyon 4e Arrondissement;;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2019-04-12;2019-04-12;69384;417;4,832921045031845;45,78163424463874
4176;4176;Rue Paul Verlaine angle Louis Becker;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-11-15;2018-11-30;2018-11-30;;69266;424;4,880169135055137;45,76555663680695
1054;1054;Rue Hélène Berthaud;Lyon 9e Arrondissement;36984;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2022-05-16;2022-05-16;2022-05-16;;69389;436;4,793185090658517;45,784324222548406
4024;4024;Rue Docteur Dolard Angle Rue 4 Septembre 1797;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2014-01-29;2018-04-24;;69266;446;4,872493329343123;45,76170370467852
3989;3989;49 Boulevard Albert Einstein;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2007-11-21;2018-08-24;2017-03-03;69266;473;4,888104092465302;45,784639707041734
1057;1057;Place Sathonay;Lyon 1er Arrondissement;27327;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2022-01-01;2023-02-24;2023-02-24;;69381;454;4,830137490797054;45,76887034764059
2241;2241;Rue de la Cordière angle rue du 8 mai 1945;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-09-17;2018-04-24;;69290;455;4,949999339704492;45,69322497486104
1406;1406;1 Place de la Croix-Rousse;Lyon 4e Arrondissement;28020;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-07-30;2013-02-25;69384;462;4,831749372342264;45,774760608657445
E797;E797;213 Rue Duguesclin;Lyon 3e Arrondissement;27857;;Y101.0.VERRE;Col Est;GPE;2023-06-26;2023-08-02;2023-08-11;2023-08-02;69383;472;4,849098328120748;45,76056826338538
4710;4710;Rue du Maréchal Lyautey jardins municiapaux;Chassieu;;;V101.0.VERRE;Col Est;GPE;2022-03-07;2022-03-10;2022-03-10;;69271;475;4,969621175749054;45,73511324871115
2517;2517;23 Boulevard des Etats-Unis;Lyon 8e Arrondissement;28718;;Y101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-19;2022-04-19;69388;476;4,86156625951098;45,73746145872412
5999;5999;23 Avenue Marcel Mérieux;Saint-Genis-les-Ollières;15872;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-02-02;2018-04-24;2015-02-16;69205;477;4,725709752716648;45,759500601012945
6680;6680;Angle Av Bruyere Place Raspail;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2013-09-03;2022-03-14;2022-03-14;69275;483;4,940571873217673;45,76323170888763
1089;1089;28 Rue de la République;Quincieux;36150;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2023-08-03;2023-11-08;2023-11-08;;69163;4982;4,778139183908009;45,91475457746932
6801;6801;1 Avenue du 8 Mai 1945;Vénissieux;20232;devant le N°2;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2023-11-08;2023-05-23;69259;4983;4,873011049827064;45,69475495730667
4704;4704;20 Avenue des Frères Montgolfier;Chassieu;;;V101.0.VERRE;Col Est;GPE;2021-12-06;2022-01-06;2022-01-06;;69271;516;4,9674898712154;45,72629228985874
2319;2319;48 Rue des Trois Pierres;Lyon 7e Arrondissement;28616;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;492;4,847770044171202;45,74685977676603
4232;4232;Face au 7 Rue Tita Coïs ;Vaulx-en-Velin;;à côté du transfo;Z101.0.VERRE;Col Est;COL GUERIN;2019-05-16;2019-05-22;2019-05-22;;69256;527;4,905238278830058;45,771127820171436
2326;2326;7 Rue Pierre Robin;Lyon 7e Arrondissement;28681;;X101.0.VERRE;Col Sud;COL GUERIN;2020-12-01;;2022-04-05;2022-04-05;69387;495;4,858077504837286;45,749190033255374
7400;7400;100 Route de Paris;Charbonnières-les-Bains;03850;;V101.0.VERRE;Col Sud;COL GUERIN;2021-01-26;2021-01-29;2021-01-29;;69044;497;4,751401311191794;45,77771708188967
2313;2313;40 Route de Vienne;Lyon 7e Arrondissement;28559;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;498;4,850409876362629;45,74290977544515
4209;4209;87 Rue Charles Machet;Limonest;35637;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2014-10-15;2018-04-24;2018-03-15;69116;506;4,770141664941004;45,83541653882449
6964;6964;12 Rue Jangot;Lyon 7e Arrondissement;28650;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2014-11-05;2022-04-13;2022-04-13;69387;507;4,842943404708873;45,75169173039223
2361;2361;Avenue Felix Faure / cours Gambetta;Lyon 7e Arrondissement;;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-07-11;2018-04-24;;69387;513;4,850490522261157;45,75249376044416
E504;E504;1 Rue Jean Chirat;Albigny-sur-Saône;00125;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2018-01-15;2018-02-20;2019-02-13;2018-02-20;69003;519;4,832169644313021;45,86513080955114
1088;1088;4 Quai de la Pêcherie;Lyon 1er Arrondissement;27349;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2023-09-07;2023-11-08;2023-11-23;;69381;4984;4,830756996318429;45,76617847330165
4221;4221;3 Rue Maurice Audin;Vaulx-en-Velin;;Adresse d'entrée du site car le silo est à l'intérieur du campus de l'ENTPE;Z101.0.VERRE;Col Est;COL GUERIN;2019-03-18;2019-03-27;2019-03-27;;69256;523;4,923922352675224;45,779092845650254
3784;3784;88-90 Rue Jean Bertin;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2018-04-24;2016-09-26;69266;66;4,917487997883708;45,759793208634925
7411;7411;34 Avenue Félix Faure;Lyon 7e Arrondissement;28483;;X101.0.VERRE;Col Sud;COL GUERIN;2020-01-01;2021-04-27;2022-04-05;2022-04-05;69387;539;4,850103417349874;45,75245632656145
3614;3614;Face au132 Cours Emile Zola;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2021-10-28;2021-10-28;69266;79;4,875941400876306;45,770129031626254
7173;7173;62 Rue de la Favorite;Lyon 5e Arrondissement;28264;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2016-02-15;2018-04-24;2016-02-15;69385;570;4,806674485653213;45,75649060200502
3653;3653;Rue Georges Chevallier angle Av Barbusse;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2017-02-22;2018-04-24;;69256;572;4,917232668719521;45,7851901555645
2894;2894;13 Rue Louis Loucheur;Lyon 9e Arrondissement;29193;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2013-05-14;2018-04-24;2013-05-22;69389;575;4,802933905682782;45,767956913921125
E473;E473;396 Cours Emile Zola;Villeurbanne;21245;;Z101.0.VERRE;Col Est;COL GUERIN;2022-12-05;2022-12-05;2022-12-05;;69266;581;4,906046936030058;45,76454682296634
4183;4183;90 Avenue Général Leclerc;Caluire-et-Cuire;02773;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2007-11-21;2018-04-24;2013-02-11;69034;584;4,865199274907547;45,80505077706724
4248;4248;82 Route de Lyon;Chassieu;;;V101.0.VERRE;Col Est;COL GUERIN;2019-11-22;2019-12-02;2019-12-02;;69271;183;4,968370463955968;45,73830731100055
3587;3587;Rue Paul Eluard / Angle Rue Eugene Hénaff ;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;;2018-04-24;2010-12-29;69256;613;4,923415629131901;45,77406400365426
2325;2325;20 Rue Jules Brunard;Lyon 7e Arrondissement;28657;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-05;2022-04-05;69387;615;4,856042758415406;45,74909469385174
4023;4023;Face au 75 Rue P Verlaine ;Villeurbanne;;parking vélo;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2014-01-29;2018-04-24;2016-07-22;69266;218;4,880503994977109;45,763367369533604
6191;6191;Rue des Lads angle Av Europe;Bron;;;Y101.0.VERRE;Col Est;GPE;2018-01-22;2013-01-02;2018-04-24;2017-07-05;69029;623;4,916041590016512;45,720092313656984
4713;4713;56 Rue du 8 Mai 1945;Meyzieu;;;V101.0.VERRE;Col Est;GPE;2022-03-14;2022-03-16;2022-03-16;;69282;231;5,001023228881241;45,77113180986932
6184;6184;Face au 53 Avenue Camille Rousset;Bron;;;Y101.0.VERRE;Col Est;GPE;2018-01-22;2008-09-18;2020-09-04;2020-09-04;69029;249;4,91096405656013;45,735650794587144
4740;4740;Face au 33 Cours Emile Zola;Villeurbanne;;;Z101.0.VERRE;Col Est;GPE;2022-05-05;2022-05-10;2022-05-10;2022-05-10;69266;250;4,865858178888122;45,77080909952935
3622;3622;Face au 57 Rue de l'Egalité;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2016-02-05;2018-04-24;;69256;272;4,923591498662124;45,78216125702377
2247;2247;Rue Gérard Oury;Saint-Priest;36063;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-11-17;2018-04-24;;69290;636;4,901317541675354;45,70832562753914
7265;7265;56b Quai Joseph Gillet;Lyon 4e Arrondissement;28041;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2016-07-22;2018-08-08;2018-08-08;69384;639;4,8122200946237195;45,78116308785227
7170;7170;13 Rue des Noyers;Lyon 5e Arrondissement;28286;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2016-02-10;2018-04-24;;69385;640;4,784932885105912;45,75224037917427
3270;3270;53 Rue Sully;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2022-01-06;2022-01-06;69275;278;4,974983926024879;45,767385386106625
3593B;3593B;7 Rue des Chemins ;Vaulx-en-Velin;;parking;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2008-09-18;2018-04-24;;69256;281;4,928224012255834;45,74787992460958
3828;3828;Rue Charlie Chaplin angle Rue Guerin;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2018-04-24;2017-02-28;69266;616;4,8599981212622065;45,77469198535705
7677;7677;78 Rue Molière;Lyon 3e Arrondissement;27917;;Y101.0.VERRE;Col Est;GPE;2021-09-15;2021-09-24;2024-02-14;2024-02-14;69383;285;4,843230701768849;45,762129094703525
7333;7333;Face au 2 Rue Max Barel;Vénissieux;20489;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2017-03-13;2023-11-09;;69259;336;4,897084347620292;45,69841799865147
7216;7216;21 Rue de la Garde;Lyon 5e Arrondissement;28266;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2016-04-25;2018-04-24;;69385;658;4,789416236735367;45,760308805444964
4227;4227;Face au 6 Rue Auguste Brunel;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2019-05-13;2019-05-17;2019-05-17;;69256;343;4,929843960804403;45,75872117146601
